id,kode_provinsi,nama_provinsi,nama_pos_hujan,nama_stasiun_hujan,bulan,jumlah_curah_hujan,satuan,tahun
66,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,JUNI,241.0,MILIMETER,2016
67,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,JULI,144.0,MILIMETER,2016
68,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,AGUSTUS,116.0,MILIMETER,2016
69,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,SEPTEMBER,141.0,MILIMETER,2016
70,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,OKTOBER,149.0,MILIMETER,2016
71,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,NOVEMBER,216.0,MILIMETER,2016
72,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,DESEMBER,244.0,MILIMETER,2016
73,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,JANUARI,374.0,MILIMETER,2016
74,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,FEBRUARI,277.0,MILIMETER,2016
75,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,MARET,141.0,MILIMETER,2016
76,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,APRIL,448.0,MILIMETER,2016
77,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,MEI,166.0,MILIMETER,2016
78,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,JUNI,11.0,MILIMETER,2016
79,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,JULI,168.0,MILIMETER,2016
80,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,AGUSTUS,60.0,MILIMETER,2016
81,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,SEPTEMBER,158.0,MILIMETER,2016
82,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,OKTOBER,261.0,MILIMETER,2016
83,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,NOVEMBER,317.0,MILIMETER,2016
84,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,DESEMBER,151.0,MILIMETER,2016
85,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,JANUARI,166.0,MILIMETER,2016
86,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,FEBRUARI,119.0,MILIMETER,2016
87,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,MARET,315.0,MILIMETER,2016
88,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,APRIL,200.0,MILIMETER,2016
